year,event,result,rank,highlight,badge,description
2026,SAEINDIA hBaja,AIR 1 — 3D Print Sync · AIR 3 — Cost Event,AIR 1,true,🏅,Secured AIR 1 in the 3D Print Sync Event and AIR 3 in the Cost Event — showcasing our strengths in advanced manufacturing and cost-effective vehicle development.
2025,SAEINDIA hBaja,AIR 7 Overall · AIR 1 — Cost & Statics Events,AIR 7,false,⭐,Competed with a hydrogen–CNG–petrol bi-fuel system (HCNG blend). Earned AIR 7 overall and AIR 1 in both the Cost Event and the Statics Event.
2024,SAEINDIA hBaja,All India Rank 1,AIR 1,false,🏆,Entered the inaugural hydrogen ATV category and secured the top position nationally with a CNG & petrol bi-fuel system — a first for our university.
2022,SAEINDIA eBaja (Virtual),Virtual Participation,eBaja,false,⚡,Strategic comeback after COVID-19 pause. Pivoted from IC to electric powertrain.
2017–18,SAEINDIA Baja / FMEA,Debut Season,Debut,false,🚀,Tarusa's first competition season. Made our presence felt in the student motorsport scene.
